X_e_1,X_e_2,X_e_3
0.80466,0.63862,0.66369
0.55976,0.98040,0.87154
0.96404,0.65168,0.27764
0.77636,0.22950,0.66975
0.95682,0.29915,0.29405
0.89273,0.26850,0.40400
0.50318,0.94716,0.73857
0.41327,0.92430,0.11027
0.53915,0.14523,0.13896
0.84882,0.27891,0.15672
0.44447,0.10423,0.82116
0.18668,0.20327,0.09657
0.31051,0.07679,0.05427
0.89684,0.17922,0.37858
0.11923,0.35865,0.56542
0.19448,0.81286,0.45271
0.25366,0.87088,0.26950
0.78957,0.47878,0.52642
0.39725,0.42835,0.28872
0.48185,0.69973,0.37747
0.52494,0.63394,0.06304
0.32805,0.57980,0.15714
0.91540,0.62115,0.29251
0.43841,0.66370,0.38424
0.31881,0.37890,0.76996
0.43923,0.96203,0.29355
0.63601,0.23893,0.27570
0.26620,0.71303,0.67436
0.68497,0.20079,0.16612
0.46691,0.38283,0.37242
0.27678,0.06352,0.87678
0.24472,0.82160,0.76344
0.62034,0.97673,0.00009
0.95974,0.01105,0.39017
0.92509,0.01235,0.91214
0.95638,0.34207,0.77936
0.40091,0.85638,0.36512
0.90114,0.34796,0.83432
0.19843,0.73448,0.38685
0.89898,0.85426,0.46690
0.26813,0.46710,0.64432
0.01000,0.43711,0.09851
0.17330,0.45867,0.31366
0.54346,0.20636,0.33008
0.63956,0.38753,0.83288
0.23079,0.70841,0.78499
0.52447,0.38077,0.05234
0.73060,0.41638,0.42757
0.29042,0.56910,0.90446
0.93605,0.61503,0.90293
0.03434,0.33436,0.63806
0.67678,0.18606,0.79822
0.28856,0.76730,0.44639
0.12376,0.59226,0.51090
0.69987,0.22016,0.19325
0.00572,0.43659,0.33855
0.14238,0.35831,0.16535
0.92403,0.32353,0.80249
0.89712,0.65399,0.31593
0.11560,0.89473,0.27100
0.22832,0.42574,0.22746
0.41910,0.99918,0.45344
0.91802,0.35810,0.63075
0.82698,0.26622,0.06796
0.98339,0.58215,0.15506
0.58018,0.33734,0.17518
0.95184,0.42244,0.25089
0.57320,0.82185,0.54430
0.83363,0.66529,0.73416
0.34953,0.19315,0.72039
